1F600         ; Basic_Emoji                  ; grinning face                                                  # E1.0   [1] (😀)
1F601..1F606  ; Basic_Emoji                  ; beaming face with smiling eyes..grinning squinting face        # E0.6   [6] (😁..😆)
1F607..1F608  ; Basic_Emoji                  ; smiling face with halo..smiling face with horns                # E1.0   [2] (😇..😈)
1F609..1F60D  ; Basic_Emoji                  ; winking face..smiling face with heart-eyes                     # E0.6   [5] (😉..😍)
1F60E         ; Basic_Emoji                  ; smiling face with sunglasses                                   # E1.0   [1] (😎)
1F60F         ; Basic_Emoji                  ; smirking face                                                  # E0.6   [1] (😏)
1F610         ; Basic_Emoji                  ; neutral face                                                   # E0.7   [1] (😐)
1F611         ; Basic_Emoji                  ; expressionless face                                            # E1.0   [1] (😑)
1F612..1F614  ; Basic_Emoji                  ; unamused face..pensive face                                    # E0.6   [3] (😒..😔)
1F615         ; Basic_Emoji                  ; confused face                                                  # E1.0   [1] (😕)
1F616         ; Basic_Emoji                  ; confounded face                                                # E0.6   [1] (😖)
1F617         ; Basic_Emoji                  ; kissing face                                                   # E1.0   [1] (😗)
1F618         ; Basic_Emoji                  ; face blowing a kiss                                            # E0.6   [1] (😘)
1F619         ; Basic_Emoji                  ; kissing face with smiling eyes                                 # E1.0   [1] (😙)
1F61A         ; Basic_Emoji                  ; kissing face with closed eyes                                  # E0.6   [1] (😚)
1F61B         ; Basic_Emoji                  ; face with tongue                                               # E1.0   [1] (😛)
1F61C..1F61E  ; Basic_Emoji                  ; winking face with tongue..disappointed face                    # E0.6   [3] (😜..😞)
1F61F         ; Basic_Emoji                  ; worried face                                                   # E1.0   [1] (😟)
1F620..1F625  ; Basic_Emoji                  ; angry face..sad but relieved face                              # E0.6   [6] (😠..😥)
1F626..1F627  ; Basic_Emoji                  ; frowning face with open mouth..anguished face                  # E1.0   [2] (😦..😧)
1F628..1F62B  ; Basic_Emoji                  ; fearful face..tired face                                       # E0.6   [4] (😨..😫)
1F62C         ; Basic_Emoji                  ; grimacing face                                                 # E1.0   [1] (😬)
1F62D         ; Basic_Emoji                  ; loudly crying face                                             # E0.6   [1] (😭)
1F62E..1F62F  ; Basic_Emoji                  ; face with open mouth..hushed face                              # E1.0   [2] (😮..😯)
1F630..1F633  ; Basic_Emoji                  ; anxious face with sweat..flushed face                          # E0.6   [4] (😰..😳)
1F634         ; Basic_Emoji                  ; sleeping face                                                  # E1.0   [1] (😴)
1F635         ; Basic_Emoji                  ; face with crossed-out eyes                                     # E0.6   [1] (😵)
1F636         ; Basic_Emoji                  ; face without mouth                                             # E1.0   [1] (😶)
1F637..1F640  ; Basic_Emoji                  ; face with medical mask..weary cat                              # E0.6  [10] (😷..🙀)
1F641..1F644  ; Basic_Emoji                  ; slightly frowning face..face with rolling eyes                 # E1.0   [4] (🙁..🙄)
